#feature_id	PAU84062_pass_FAST_barcode01	PAU84062_pass_FAST_barcode02	PAU84062_pass_FAST_barcode03	PAU84062_pass_FAST_barcode04	PAU84062_pass_FAST_barcode05	PAU84062_pass_FAST_barcode06
ENST00000003912.8	1.00	4.00	3.00	1.00	3.00	1.00
ENST00000008440.9	2.00	2.00	0.00	0.00	5.00	0.00
ENST00000040877.2	4.00	3.00	1.00	8.00	5.00	5.00
ENST00000054650.9	154.00	164.00	178.00	143.00	164.00	113.00
ENST00000054666.11	130.00	214.00	146.00	171.00	208.00	120.00
ENST00000054668.5	1.00	0.00	0.00	0.00	0.00	0.00
ENST00000060969.6	36.00	66.00	42.00	52.00	52.00	38.00
ENST00000072644.7	19.00	25.00	33.00	22.00	32.00	18.00
ENST00000194214.10	362.00	493.00	451.00	301.00	477.00	311.00
ENST00000196061.5	59.00	120.00	68.00	54.00	81.00	52.00
ENST00000209884.5	1.00	1.00	0.00	0.00	1.00	1.00
ENST00000234590.10	1357.00	621.00	921.00	1428.00	677.00	534.00
ENST00000234626.11	0.00	1.00	0.00	0.00	0.00	0.00
ENST00000234677.7	114.00	171.00	137.00	163.00	202.00	104.00
ENST00000234827.6	2.00	10.00	1.00	3.00	7.00	1.00
ENST00000234831.10	164.00	505.00	234.00	259.00	395.00	168.00
ENST00000234875.9	1338.00	2286.00	1741.00	1281.00	1919.00	1218.00
ENST00000235090.10	3.00	24.00	9.00	12.00	16.00	15.00
ENST00000235150.5	84.00	39.00	28.00	91.00	44.00	33.00
ENST00000235310.7	69.00	84.00	91.00	53.00	86.00	57.00
ENST00000235329.10	1.00	9.00	6.00	11.00	8.00	3.00
ENST00000235332.6	13.00	88.00	67.00	24.00	80.00	49.00
ENST00000235345.6	12.00	23.00	19.00	9.00	23.00	12.00
ENST00000235382.7	3901.00	4104.00	4059.00	3168.00	3612.00	2501.00
ENST00000235521.5	0.00	5.00	4.00	2.00	6.00	1.00
ENST00000235532.9	0.00	0.00	0.00	1.00	0.00	0.00
ENST00000235835.8	10.00	41.00	9.00	13.00	26.00	27.00
ENST00000235932.8	1.00	4.00	1.00	3.00	0.00	3.00
ENST00000235958.4	0.00	0.00	1.00	0.00	0.00	0.00
ENST00000236051.3	8.00	22.00	14.00	9.00	22.00	7.00
ENST00000236067.8	264.00	133.00	157.00	306.00	165.00	124.00
ENST00000236147.6	15.00	10.00	16.00	20.00	15.00	7.00
ENST00000236273.9	140.00	364.00	137.00	193.00	327.00	130.00
